FOV	paraxial height	real height	dist %
24.3	5.81E-01	5.57E-01	-4.13E+00
24.4	5.84E-01	5.60E-01	-4.17E+00
24.5	5.87E-01	5.62E-01	-4.20E+00
24.6	5.90E-01	5.65E-01	-4.24E+00
24.7	5.92E-01	5.67E-01	-4.28E+00
24.8	5.95E-01	5.69E-01	-4.32E+00
24.9	5.98E-01	5.72E-01	-4.36E+00
25	6.00E-01	5.74E-01	-4.39E+00
25.1	6.03E-01	5.76E-01	-4.43E+00
25.2	6.06E-01	5.79E-01	-4.47E+00
25.3	6.09E-01	5.81E-01	-4.51E+00
25.4	6.11E-01	5.84E-01	-4.55E+00
25.5	6.14E-01	5.86E-01	-4.59E+00
25.6	6.17E-01	5.88E-01	-4.63E+00
25.7	6.20E-01	5.91E-01	-4.67E+00
25.8	6.23E-01	5.93E-01	-4.71E+00
25.9	6.25E-01	5.96E-01	-4.75E+00
26	6.28E-01	5.98E-01	-4.79E+00
26.1	6.31E-01	6.00E-01	-4.83E+00
26.2	6.34E-01	6.03E-01	-4.88E+00
26.3	6.36E-01	6.05E-01	-4.92E+00
26.4	6.39E-01	6.08E-01	-4.96E+00
26.5	6.42E-01	6.10E-01	-5.00E+00
26.6	6.45E-01	6.12E-01	-5.04E+00
26.7	6.48E-01	6.15E-01	-5.08E+00
26.8	6.50E-01	6.17E-01	-5.13E+00
26.9	6.53E-01	6.20E-01	-5.17E+00
27	6.56E-01	6.22E-01	-5.21E+00
27.1	6.59E-01	6.24E-01	-5.25E+00
27.2	6.62E-01	6.27E-01	-5.30E+00
27.3	6.65E-01	6.29E-01	-5.34E+00
27.4	6.68E-01	6.32E-01	-5.38E+00
27.5	6.70E-01	6.34E-01	-5.43E+00
27.6	6.73E-01	6.36E-01	-5.47E+00
27.7	6.76E-01	6.39E-01	-5.52E+00
27.8	6.79E-01	6.41E-01	-5.56E+00
27.9	6.82E-01	6.44E-01	-5.61E+00
28	6.85E-01	6.46E-01	-5.65E+00
28.1	6.88E-01	6.48E-01	-5.70E+00
28.2	6.90E-01	6.51E-01	-5.74E+00
28.3	6.93E-01	6.53E-01	-5.79E+00
28.4	6.96E-01	6.56E-01	-5.83E+00
28.5	6.99E-01	6.58E-01	-5.88E+00
28.6	7.02E-01	6.61E-01	-5.92E+00
28.7	7.05E-01	6.63E-01	-5.97E+00
28.8	7.08E-01	6.65E-01	-6.02E+00
28.9	7.11E-01	6.68E-01	-6.06E+00
29	7.14E-01	6.70E-01	-6.11E+00
29.1	7.17E-01	6.73E-01	-6.16E+00
29.2	7.20E-01	6.75E-01	-6.21E+00
29.3	7.23E-01	6.77E-01	-6.25E+00
29.4	7.26E-01	6.80E-01	-6.30E+00
29.5	7.29E-01	6.82E-01	-6.35E+00
29.6	7.32E-01	6.85E-01	-6.40E+00
29.7	7.35E-01	6.87E-01	-6.45E+00
29.8	7.37E-01	6.90E-01	-6.50E+00
29.9	7.40E-01	6.92E-01	-6.54E+00
30	7.43E-01	6.94E-01	-6.59E+00
30.1	7.46E-01	6.97E-01	-6.64E+00
30.2	7.49E-01	6.99E-01	-6.69E+00
30.3	7.52E-01	7.02E-01	-6.74E+00
30.4	7.56E-01	7.04E-01	-6.79E+00
30.5	7.59E-01	7.07E-01	-6.84E+00
30.6	7.62E-01	7.09E-01	-6.89E+00
30.7	7.65E-01	7.12E-01	-6.94E+00
30.8	7.68E-01	7.14E-01	-6.99E+00
30.9	7.71E-01	7.16E-01	-7.05E+00
31	7.74E-01	7.19E-01	-7.10E+00
31.1	7.77E-01	7.21E-01	-7.15E+00
31.2	7.80E-01	7.24E-01	-7.20E+00
31.3	7.83E-01	7.26E-01	-7.25E+00
31.4	7.86E-01	7.29E-01	-7.30E+00
31.5	7.89E-01	7.31E-01	-7.36E+00
31.6	7.92E-01	7.34E-01	-7.41E+00
31.7	7.95E-01	7.36E-01	-7.46E+00
31.8	7.98E-01	7.38E-01	-7.52E+00
31.9	8.02E-01	7.41E-01	-7.57E+00
32	8.05E-01	7.43E-01	-7.62E+00
32.1	8.08E-01	7.46E-01	-7.68E+00
32.2	8.11E-01	7.48E-01	-7.73E+00
32.3	8.14E-01	7.51E-01	-7.78E+00
32.4	8.17E-01	7.53E-01	-7.84E+00
32.5	8.20E-01	7.56E-01	-7.89E+00
32.6	8.24E-01	7.58E-01	-7.95E+00
32.7	8.27E-01	7.61E-01	-8.00E+00
32.8	8.30E-01	7.63E-01	-8.06E+00
32.9	8.33E-01	7.65E-01	-8.11E+00
33	8.36E-01	7.68E-01	-8.17E+00
33.1	8.39E-01	7.70E-01	-8.23E+00
33.2	8.43E-01	7.73E-01	-8.28E+00
33.3	8.46E-01	7.75E-01	-8.34E+00
33.4	8.49E-01	7.78E-01	-8.40E+00
33.5	8.52E-01	7.80E-01	-8.45E+00
33.6	8.56E-01	7.83E-01	-8.51E+00
33.7	8.59E-01	7.85E-01	-8.57E+00
33.8	8.62E-01	7.88E-01	-8.62E+00
