Half FOV	Image Height(Y')	Optical Distortion(%)
28.9	0.66968700 	-4.5
29.0	0.67219300 	-4.5
29.1	0.67470100 	-4.6
29.2	0.67721100 	-4.6
29.3	0.67972300 	-4.6
29.4	0.68223600 	-4.7
29.5	0.68475200 	-4.7
29.6	0.68726900 	-4.8
29.7	0.68978800 	-4.8
29.8	0.69230800 	-4.8
29.9	0.69483100 	-4.9
30.0	0.69735500 	-4.9
30.1	0.69988200 	-5.0
30.2	0.70241000 	-5.0
30.3	0.70493900 	-5.0
30.4	0.70747100 	-5.1
30.5	0.71000500 	-5.1
30.6	0.71254000 	-5.2
30.7	0.71507700 	-5.2
30.8	0.71761600 	-5.2
30.9	0.72015700 	-5.3
31.0	0.72270000 	-5.3
31.1	0.72524500 	-5.4
31.2	0.72779100 	-5.4
31.3	0.73034000 	-5.4
31.4	0.73289000 	-5.5
31.5	0.73544200 	-5.5
31.6	0.73799600 	-5.6
31.7	0.74055200 	-5.6
31.8	0.74310900 	-5.6
31.9	0.74566900 	-5.7
32.0	0.74823000 	-5.7
32.1	0.75079300 	-5.8
32.2	0.75335900 	-5.8
32.3	0.75592600 	-5.9
32.4	0.75849500 	-5.9
32.5	0.76106500 	-6.0
32.6	0.76363800 	-6.0
32.7	0.76621300 	-6.0
32.8	0.76878900 	-6.1
32.9	0.77136800 	-6.1
33.0	0.77394800 	-6.2
33.1	0.77653000 	-6.2
33.2	0.77911400 	-6.3
33.3	0.78170000 	-6.3
33.4	0.78428800 	-6.4
33.5	0.78687800 	-6.4
33.6	0.78947000 	-6.5
33.7	0.79206300 	-6.5
33.8	0.79465900 	-6.6
33.9	0.79725600 	-6.6
34.0	0.79985500 	-6.6
34.1	0.80245700 	-6.7
34.2	0.80506000 	-6.7
34.3	0.80766500 	-6.8
34.4	0.81027200 	-6.8
34.5	0.81288100 	-6.9
34.6	0.81549200 	-6.9
34.7	0.81810400 	-7.0
34.8	0.82071900 	-7.0
34.9	0.82333600 	-7.1
35.0	0.82595400 	-7.1
35.1	0.82857500 	-7.2
35.2	0.83119700 	-7.2
35.3	0.83382100 	-7.3
35.4	0.83644800 	-7.3
35.5	0.83907600 	-7.4
35.6	0.84170600 	-7.4
35.7	0.84433800 	-7.5
35.8	0.84697200 	-7.5
35.9	0.84960700 	-7.6
36.0	0.85224500 	-7.7
